tag,vertente,mode,N,window,buffer_cap,net_delay_ms,lat_mean_us,lat_p50_us,lat_p95_us,lat_p99_us,lat_max_us,jitter_us,sample_ms,tempo_total_ms,throughput_sps,mem_pico_kb,n_allocs,alloc_bytes
escala,1,shift,100,100,1024,0,0.24,0.1,1.6,5.3,5.3,0.784857,22.981,22.983,4351.42,4592,8,6120
escala,2,ring,100,1000,4096,0,0.021,0,0.1,0.1,0.1,0.0407308,0.163,1.342,613497,4736,1,98304
escala,1,shift,5000,500,1024,0,0.13032,0.1,0.2,0.2,7.1,0.170202,16.618,16.619,300879,4688,10,24552
escala,2,ring,5000,1000,4096,0,0.03898,0,0.1,0.1,1.2,0.0517934,2.373,4.311,2.10704e+06,4784,1,98304
escala,1,shift,20000,2000,1024,0,0.66486,0.7,0.7,1,498.2,3.72987,34.589,34.609,578219,4908,12,98280
escala,2,ring,20000,1000,4096,0,0.03947,0,0.1,0.1,0.3,0.0492861,9.145,11.367,2.18699e+06,4956,1,98304
escala,1,shift,100000,2000,1024,0,0.720838,0.7,0.7,0.9,533.9,3.03477,114.993,114.996,869618,6252,12,98280
escala,2,ring,100000,1000,4096,0,0.043263,0,0.1,0.1,8.8,0.0645756,45.897,47.592,2.17879e+06,6212,2,104448
memoria,1,realloc,100,1000,1024,0,0.723,0.4,2.7,10.8,10.8,1.21176,20.274,20.275,4932.43,4588,100,121200
memoria,1,realloc,5000,1000,1024,0,2.50128,2.2,4,6.3,376,8.30778,36.133,36.134,138378,5020,5000,300060000
memoria,1,realloc,20000,1000,1024,0,7.92768,7.9,13.9,17.9,501,8.45781,181.368,181.368,110273,6388,20000,4800240000
gargalo,1,shift,600,200,1024,0,0.586667,0.4,1.3,2.8,40.5,1.82577,1582.06,1582.06,379.252,6440,9,12264
gargalo,2,ring,600,1000,256,0,0.0251667,0,0.1,0.1,0.1,0.0433971,0.202,100.774,2.9703e+06,6572,52,8848
gargalo,1,shift,600,200,1024,1,1.151,0.9,2,10,30.1,1.83261,12045.9,12045.9,49.8096,6452,9,12264
gargalo,2,ring,600,1000,256,1,0.0406667,0,0.1,0.2,0.2,0.0514414,0.383,7962.55,1.56658e+06,6588,39,14215
gargalo,1,shift,600,200,1024,2,1.27133,0.7,1.6,3.6,265.7,10.9143,10360.7,10360.7,57.9114,6452,9,12264
gargalo,2,ring,600,1000,256,2,0.0238333,0,0.1,0.1,0.3,0.0437642,0.257,3981.49,2.33463e+06,6552,1,6144
gargalo,1,shift,600,200,1024,5,0.779,0.6,1.5,5,23.4,1.50594,10194.2,10194.2,58.8568,6456,9,12264
gargalo,2,ring,600,1000,256,5,0.0226667,0,0.1,0.1,0.1,0.0418675,0.149,4299.51,4.02685e+06,6540,1,6144
dist,1,shift,20000,2000,1024,0,0.41911,0.4,0.5,0.5,107.7,0.786198,30.411,30.424,657657,4920,12,98280
dist,1,realloc,20000,1000,1024,0,12.6466,9,35.8,55.9,1181.5,17.9745,285.688,285.689,70006.4,6148,20000,4800240000
dist,2,ring,20000,1000,4096,0,0.05945,0.1,0.1,0.1,18.8,0.141491,33.38,170.211,599161,5044,1,98304
